"*Channel Name","Product Name","*SKU Code",Weight,Dimensions,Category,"Image 1","Image 2","Image 3","Image 4","Image 5","HSN Code",Essential,"Channel Product id","Channel SKU Code","Master SKU Code"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-3XL","YLA-67-SSCRPO_SOL-BLK | 3XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658710425841,"YLA-67-SSCRPO_SOL-BLK | 3XL","YLA-67-SSCRPO_SOL-BLK | 3XL"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-XL","YLA-67-SSCRPO_SOL-BLK | XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658710425841,"YLA-67-SSCRPO_SOL-BLK | XL","YLA-67-SSCRPO_SOL-BLK | XL"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-L","YLA-67-SSCRPO_SOL-BLK | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658710425841,"YLA-67-SSCRPO_SOL-BLK | L","YLA-67-SSCRPO_SOL-BLK | L"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-M","YLA-67-SSCRPO_SOL-BLK | M",0.000,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658710425841,"YLA-67-SSCRPO_SOL-BLK | M","YLA-67-SSCRPO_SOL-BLK | M"
"Entitled Club (Shopify)","Young LA | Grey Round Neck T-Shirt-XXL","YLA-62-SSCRPO_SOL-GRY | XXL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796278001,"YLA-62-SSCRPO_SOL-GRY | XXL","YLA-62-SSCRPO_SOL-GRY | XXL"
"Entitled Club (Shopify)","Young LA | Grey Round Neck T-Shirt-L","YLA-62-SSCRPO_SOL-GRY | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796278001,"YLA-62-SSCRPO_SOL-GRY | L","YLA-62-SSCRPO_SOL-GRY | L"
"Entitled Club (Shopify)","Young LA | Grey Round Neck T-Shirt-S","YLA-62-SSCRPO_SOL-GRY | S",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796278001,"YLA-62-SSCRPO_SOL-GRY | S","YLA-62-SSCRPO_SOL-GRY | S"
"Entitled Club (Shopify)","Young LA | White Round Neck T-Shirt-3XL","YLA-63-SSCRPO_SOL-WHT | 3XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796310769,"YLA-63-SSCRPO_SOL-WHT | 3XL","YLA-63-SSCRPO_SOL-WHT | 3XL"
"Entitled Club (Shopify)","Young LA | White Round Neck T-Shirt-XXL","YLA-63-SSCRPO_SOL-WHT | XXL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796310769,"YLA-63-SSCRPO_SOL-WHT | XXL","YLA-63-SSCRPO_SOL-WHT | XXL"
"Entitled Club (Shopify)","Young LA | White Round Neck T-Shirt-XL","YLA-63-SSCRPO_SOL-WHT | XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796310769,"YLA-63-SSCRPO_SOL-WHT | XL","YLA-63-SSCRPO_SOL-WHT | XL"
"Entitled Club (Shopify)","Young LA | White Round Neck T-Shirt-L","YLA-63-SSCRPO_SOL-WHT | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796310769,"YLA-63-SSCRPO_SOL-WHT | L","YLA-63-SSCRPO_SOL-WHT | L"
"Entitled Club (Shopify)","Young LA | Yellow Round Neck T-Shirt-XL","YLA-64-SSCRPO_SOL-YLW | XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796343537,"YLA-64-SSCRPO_SOL-YLW | XL","YLA-64-SSCRPO_SOL-YLW | XL"
"Entitled Club (Shopify)","Young LA | Yellow Round Neck T-Shirt-L","YLA-64-SSCRPO_SOL-YLW | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796343537,"YLA-64-SSCRPO_SOL-YLW | L","YLA-64-SSCRPO_SOL-YLW | L"
"Entitled Club (Shopify)","Young LA | Yellow Round Neck T-Shirt-S","YLA-64-SSCRPO_SOL-YLW | S",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796343537,"YLA-64-SSCRPO_SOL-YLW | S","YLA-64-SSCRPO_SOL-YLW | S"
"Entitled Club (Shopify)","Young LA | Green Round Neck T-Shirt-XXL","YLA-65-SSCRPO_SOL-GRN | XXL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796376305,"YLA-65-SSCRPO_SOL-GRN | XXL","YLA-65-SSCRPO_SOL-GRN | XXL"
"Entitled Club (Shopify)","Young LA | Green Round Neck T-Shirt-XL","YLA-65-SSCRPO_SOL-GRN | XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796376305,"YLA-65-SSCRPO_SOL-GRN | XL","YLA-65-SSCRPO_SOL-GRN | XL"
"Entitled Club (Shopify)","Young LA | Green Round Neck T-Shirt-L","YLA-65-SSCRPO_SOL-GRN | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796376305,"YLA-65-SSCRPO_SOL-GRN | L","YLA-65-SSCRPO_SOL-GRN | L"
"Entitled Club (Shopify)","Young LA | Green Round Neck T-Shirt-M","YLA-65-SSCRPO_SOL-GRN | M",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796376305,"YLA-65-SSCRPO_SOL-GRN | M","YLA-65-SSCRPO_SOL-GRN | M"
"Entitled Club (Shopify)","Young LA | Red Round Neck T-Shirt-3XL","YLA-66-SSCRPO_SOL-RED | 3XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796409073,"YLA-66-SSCRPO_SOL-RED | 3XL","YLA-66-SSCRPO_SOL-RED | 3XL"
"Entitled Club (Shopify)","Young LA | Red Round Neck T-Shirt-XL","YLA-66-SSCRPO_SOL-RED | XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796409073,"YLA-66-SSCRPO_SOL-RED | XL","YLA-66-SSCRPO_SOL-RED | XL"
"Entitled Club (Shopify)","Young LA | Red Round Neck T-Shirt-L","YLA-66-SSCRPO_SOL-RED | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796409073,"YLA-66-SSCRPO_SOL-RED | L","YLA-66-SSCRPO_SOL-RED | L"
"Entitled Club (Shopify)","Young LA | Red Round Neck T-Shirt-M","YLA-66-SSCRPO_SOL-RED | M",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796409073,"YLA-66-SSCRPO_SOL-RED | M","YLA-66-SSCRPO_SOL-RED | M"
"Entitled Club (Shopify)","Young LA | White Round Neck T-Shirt-XXL","YLA-68-SSCRPO_SOL-WHT | XXL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796441841,"YLA-68-SSCRPO_SOL-WHT | XXL","YLA-68-SSCRPO_SOL-WHT | XXL"
"Entitled Club (Shopify)","Young LA | White Round Neck T-Shirt-L","YLA-68-SSCRPO_SOL-WHT | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796441841,"YLA-68-SSCRPO_SOL-WHT | L","YLA-68-SSCRPO_SOL-WHT | L"
"Entitled Club (Shopify)","Young LA | White Round Neck T-Shirt-M","YLA-68-SSCRPO_SOL-WHT | M",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658796441841,"YLA-68-SSCRPO_SOL-WHT | M","YLA-68-SSCRPO_SOL-WHT | M"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-XL","YLA-60-SSCRPO_SOL-BLK | XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658797097201,"YLA-60-SSCRPO_SOL-BLK | XL","YLA-60-SSCRPO_SOL-BLK | XL"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-L","YLA-60-SSCRPO_SOL-BLK | L",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658797097201,"YLA-60-SSCRPO_SOL-BLK | L","YLA-60-SSCRPO_SOL-BLK | L"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-M","YLA-60-SSCRPO_SOL-BLK | M",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658797097201,"YLA-60-SSCRPO_SOL-BLK | M","YLA-60-SSCRPO_SOL-BLK | M"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-3XL","YLA-61-SSCRPO_SOL-BLK | 3XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658797752561,"YLA-61-SSCRPO_SOL-BLK | 3XL","YLA-61-SSCRPO_SOL-BLK | 3XL"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-XXL","YLA-61-SSCRPO_SOL-BLK | XXL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658797752561,"YLA-61-SSCRPO_SOL-BLK | XXL","YLA-61-SSCRPO_SOL-BLK | XXL"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-XL","YLA-61-SSCRPO_SOL-BLK | XL",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658797752561,"YLA-61-SSCRPO_SOL-BLK | XL","YLA-61-SSCRPO_SOL-BLK | XL"
"Entitled Club (Shopify)","Young LA | Black Round Neck T-Shirt-M","YLA-61-SSCRPO_SOL-BLK | M",,0.000x0.000x0.000,"Round Neck T-Shirt",,,,,,,,9658797752561,"YLA-61-SSCRPO_SOL-BLK | M","YLA-61-SSCRPO_SOL-BLK | M"
