"excel_row_number","product_name","size","sku","alternate_sku","transformed_sku","excel_inventory","excel_selling_price","shopify_product_title","shopify_variant_title","shopify_sku","current_shopify_inventory","shopify_variant_price","delta","action_taken","status","reason"
"69","Armani Exchange Polo","XXL","ARX-15-SSPOPO_MIX-GRY|XXL","ARX-15-SSPOPO_MIX-GRY|Grey|XXL","ARX-15-SSPOPO_MIX-GRY-XXL","1","1499","Armani Exchange | Polo | Grey","XXL","ARX-15-SSPOPO_MIX-GRY-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"70","Armani Exchange Polo","S","ARX-16-SSPOPO_MIX-NAV|S","ARX-16-SSPOPO_MIX-NAV|Navy|S","ARX-16-SSPOPO_MIX-NAV-S","1","1499","Armani Exchange | Polo | Navy","S","ARX-16-SSPOPO_MIX-NAV-S","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"71","Armani Exchange Polo","M","ARX-16-SSPOPO_MIX-NAV|M","ARX-16-SSPOPO_MIX-NAV|Navy|M","ARX-16-SSPOPO_MIX-NAV-M","2","1499","Armani Exchange | Polo | Navy","M","ARX-16-SSPOPO_MIX-NAV-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"72","Armani Exchange Polo","L","ARX-16-SSPOPO_MIX-NAV|L","ARX-16-SSPOPO_MIX-NAV|Navy|L","ARX-16-SSPOPO_MIX-NAV-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: ARX-16-SSPOPO_MIX-NAV-M | ARX-16-SSPOPO_MIX-NAV-S | ARX-16-SSPOPO_MIX-NAV-XL | ARX-16-SSPOPO_MIX-NAV-XXL"
"73","Armani Exchange Polo","XL","ARX-16-SSPOPO_MIX-NAV|XL","ARX-16-SSPOPO_MIX-NAV|Navy|XL","ARX-16-SSPOPO_MIX-NAV-XL","2","1499","Armani Exchange | Polo | Navy","XL","ARX-16-SSPOPO_MIX-NAV-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"74","Armani Exchange Polo","XXL","ARX-16-SSPOPO_MIX-NAV|XXL","ARX-16-SSPOPO_MIX-NAV|Navy|XXL","ARX-16-SSPOPO_MIX-NAV-XXL","1","1499","Armani Exchange | Polo | Navy","XXL","ARX-16-SSPOPO_MIX-NAV-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"75","Diesel Denim Shirt","M","DSL-17-LSWSSH_SOL-LBL|M","DSL-17-LSWSSH_SOL-LBL|Blue|M","DSL-17-LSWSSH_SOL-LBL-M","2","1999","Diesel | Denim Shirt | Blue","M","DSL-17-LSWSSH_SOL-LBL-M","2","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"76","Diesel Denim Shirt","L","DSL-17-LSWSSH_SOL-LBL|L","DSL-17-LSWSSH_SOL-LBL|Blue|L","DSL-17-LSWSSH_SOL-LBL-L","2","1999","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: DSL-17-LSWSSH_SOL-LBL-M | DSL-17-LSWSSH_SOL-LBL-XL"
"77","Diesel Denim Shirt","XL","DSL-17-LSWSSH_SOL-LBL|XL","DSL-17-LSWSSH_SOL-LBL|Blue|XL","DSL-17-LSWSSH_SOL-LBL-XL","2","1999","Diesel | Denim Shirt | Blue","XL","DSL-17-LSWSSH_SOL-LBL-XL","2","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"78","Diesel Denim Shirt","M","DSL-18-LSWSSH_SOL-MBL|M","DSL-18-LSWSSH_SOL-MBL|Blue|M","DSL-18-LSWSSH_SOL-MBL-M","2","1999","Diesel | Denim Shirt | Blue","M","DSL-18-LSWSSH_SOL-MBL-M","2","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"79","Diesel Denim Shirt","L","DSL-18-LSWSSH_SOL-MBL|L","DSL-18-LSWSSH_SOL-MBL|Blue|L","DSL-18-LSWSSH_SOL-MBL-L","2","1999","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: DSL-18-LSWSSH_SOL-MBL-M | DSL-18-LSWSSH_SOL-MBL-XL"
"80","Diesel Denim Shirt","XL","DSL-18-LSWSSH_SOL-MBL|XL","DSL-18-LSWSSH_SOL-MBL|Blue|XL","DSL-18-LSWSSH_SOL-MBL-XL","1","1999","Diesel | Denim Shirt | Blue","XL","DSL-18-LSWSSH_SOL-MBL-XL","1","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"81","Diesel Denim Shirt","M","DSL-19-LSWSSH_SOL-BLU|M","DSL-19-LSWSSH_SOL-BLU|Blue|M","DSL-19-LSWSSH_SOL-BLU-M","2","1999","Diesel | Denim Shirt | Blue","M","DSL-19-LSWSSH_SOL-BLU-M","2","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"82","Diesel Denim Shirt","L","DSL-19-LSWSSH_SOL-BLU|L","DSL-19-LSWSSH_SOL-BLU|Blue|L","DSL-19-LSWSSH_SOL-BLU-L","2","1999","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: DSL-19-LSWSSH_SOL-BLU-M | DSL-19-LSWSSH_SOL-BLU-XL"
"83","Diesel Denim Shirt","XL","DSL-19-LSWSSH_SOL-BLU|XL","DSL-19-LSWSSH_SOL-BLU|Blue|XL","DSL-19-LSWSSH_SOL-BLU-XL","2","1999","Diesel | Denim Shirt | Blue","XL","DSL-19-LSWSSH_SOL-BLU-XL","2","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"84","Diesel Denim Shirt","M","DSL-20-LSWSSH_SOL-DBL|M","DSL-20-LSWSSH_SOL-DBL|Blue|M","DSL-20-LSWSSH_SOL-DBL-M","2","1999","Diesel | Denim Shirt | Blue","M","DSL-20-LSWSSH_SOL-DBL-M","2","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"85","Diesel Denim Shirt","L","DSL-20-LSWSSH_SOL-DBL|L","DSL-20-LSWSSH_SOL-DBL|Blue|L","DSL-20-LSWSSH_SOL-DBL-L","2","1999","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: DSL-20-LSWSSH_SOL-DBL-M | DSL-20-LSWSSH_SOL-DBL-XL"
"86","Diesel Denim Shirt","XL","DSL-20-LSWSSH_SOL-DBL|XL","DSL-20-LSWSSH_SOL-DBL|Blue|XL","DSL-20-LSWSSH_SOL-DBL-XL","2","1999","Diesel | Denim Shirt | Blue","XL","DSL-20-LSWSSH_SOL-DBL-XL","2","1999","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
