"excel_row_number","product_name","size","sku","alternate_sku","transformed_sku","excel_inventory","excel_selling_price","shopify_product_title","shopify_variant_title","shopify_sku","current_shopify_inventory","shopify_variant_price","delta","action_taken","status","reason"
"18","Lacoste Polo","M","LAC-5-SSPOPO_SOL-SKN|M","LAC-5-SSPOPO_SOL-SKN|Beige|M","LAC-5-SSPOPO_SOL-SKN-M","2","1499","Lacoste | Polo | Beige","M","LAC-5-SSPOPO_SOL-SKN-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"19","Lacoste Polo","L","LAC-5-SSPOPO_SOL-SKN|L","LAC-5-SSPOPO_SOL-SKN|Beige|L","LAC-5-SSPOPO_SOL-SKN-L","3","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-5-SSPOPO_SOL-SKN-M | LAC-5-SSPOPO_SOL-SKN-XL | LAC-5-SSPOPO_SOL-SKN-XXL"
"20","Lacoste Polo","XL","LAC-5-SSPOPO_SOL-SKN|XL","LAC-5-SSPOPO_SOL-SKN|Beige|XL","LAC-5-SSPOPO_SOL-SKN-XL","2","1499","Lacoste | Polo | Beige","XL","LAC-5-SSPOPO_SOL-SKN-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"21","Lacoste Polo","XXL","LAC-5-SSPOPO_SOL-SKN|XXL","LAC-5-SSPOPO_SOL-SKN|Beige|XXL","LAC-5-SSPOPO_SOL-SKN-XXL","1","1499","Lacoste | Polo | Beige","XXL","LAC-5-SSPOPO_SOL-SKN-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"22","Lacoste Polo","M","LAC-6-SSPOPO_SOL-MRN|M","LAC-6-SSPOPO_SOL-MRN|Maroon|M","LAC-6-SSPOPO_SOL-MRN-M","2","1499","Lacoste | Polo | Maroon","M","LAC-6-SSPOPO_SOL-MRN-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"23","Lacoste Polo","L","LAC-6-SSPOPO_SOL-MRN|L","LAC-6-SSPOPO_SOL-MRN|Maroon|L","LAC-6-SSPOPO_SOL-MRN-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-6-SSPOPO_SOL-MRN-M | LAC-6-SSPOPO_SOL-MRN-XL | LAC-6-SSPOPO_SOL-MRN-XXL"
"24","Lacoste Polo","XL","LAC-6-SSPOPO_SOL-MRN|XL","LAC-6-SSPOPO_SOL-MRN|Maroon|XL","LAC-6-SSPOPO_SOL-MRN-XL","3","1499","Lacoste | Polo | Maroon","XL","LAC-6-SSPOPO_SOL-MRN-XL","3","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"25","Lacoste Polo","XXL","LAC-6-SSPOPO_SOL-MRN|XXL","LAC-6-SSPOPO_SOL-MRN|Maroon|XXL","LAC-6-SSPOPO_SOL-MRN-XXL","1","1499","Lacoste | Polo | Maroon","XXL","LAC-6-SSPOPO_SOL-MRN-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"26","Lacoste Polo","M","LAC-7-SSPOPO_SOL-RED|M","LAC-7-SSPOPO_SOL-RED|Red|M","LAC-7-SSPOPO_SOL-RED-M","1","1499","Lacoste | Polo | Red","M","LAC-7-SSPOPO_SOL-RED-M","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"27","Lacoste Polo","L","LAC-7-SSPOPO_SOL-RED|L","LAC-7-SSPOPO_SOL-RED|Red|L","LAC-7-SSPOPO_SOL-RED-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-7-SSPOPO_SOL-RED-M | LAC-7-SSPOPO_SOL-RED-XL | LAC-7-SSPOPO_SOL-RED-XXL"
"28","Lacoste Polo","XL","LAC-7-SSPOPO_SOL-RED|XL","LAC-7-SSPOPO_SOL-RED|Red|XL","LAC-7-SSPOPO_SOL-RED-XL","2","1499","Lacoste | Polo | Red","XL","LAC-7-SSPOPO_SOL-RED-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"29","Lacoste Polo","XXL","LAC-7-SSPOPO_SOL-RED|XXL","LAC-7-SSPOPO_SOL-RED|Red|XXL","LAC-7-SSPOPO_SOL-RED-XXL","1","1499","Lacoste | Polo | Red","XXL","LAC-7-SSPOPO_SOL-RED-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"30","Polo Ralph Lauren Polo","S","PRL-8-SSPOPO_SOL-BRN|S","PRL-8-SSPOPO_SOL-BRN|Brown|S","PRL-8-SSPOPO_SOL-BRN-S","2","1799","Polo Ralph Lauren | Polo | Brown","S","PRL-8-SSPOPO_SOL-BRN-S","2","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"31","Polo Ralph Lauren Polo","M","PRL-8-SSPOPO_SOL-BRN|M","PRL-8-SSPOPO_SOL-BRN|Brown|M","PRL-8-SSPOPO_SOL-BRN-M","2","1799","Polo Ralph Lauren | Polo | Brown","M","PRL-8-SSPOPO_SOL-BRN-M","2","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"32","Polo Ralph Lauren Polo","L","PRL-8-SSPOPO_SOL-BRN|L","PRL-8-SSPOPO_SOL-BRN|Brown|L","PRL-8-SSPOPO_SOL-BRN-L","2","1799","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: PRL-8-SSPOPO_SOL-BRN-M | PRL-8-SSPOPO_SOL-BRN-S | PRL-8-SSPOPO_SOL-BRN-XL | PRL-8-SSPOPO_SOL-BRN-XXL"
"33","Polo Ralph Lauren Polo","XL","PRL-8-SSPOPO_SOL-BRN|XL","PRL-8-SSPOPO_SOL-BRN|Brown|XL","PRL-8-SSPOPO_SOL-BRN-XL","1","1799","Polo Ralph Lauren | Polo | Brown","XL","PRL-8-SSPOPO_SOL-BRN-XL","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"34","Polo Ralph Lauren Polo","XXL","PRL-8-SSPOPO_SOL-BRN|XXL","PRL-8-SSPOPO_SOL-BRN|Brown|XXL","PRL-8-SSPOPO_SOL-BRN-XXL","1","1799","Polo Ralph Lauren | Polo | Brown","XXL","PRL-8-SSPOPO_SOL-BRN-XXL","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"35","Polo Ralph Lauren Polo","S","PRL-9-SSPOPO_SOL-WHT|S","PRL-9-SSPOPO_SOL-WHT|White|S","PRL-9-SSPOPO_SOL-WHT-S","1","1799","Polo Ralph Lauren | Polo | White","S","PRL-9-SSPOPO_SOL-WHT-S","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"36","Polo Ralph Lauren Polo","M","PRL-9-SSPOPO_SOL-WHT|M","PRL-9-SSPOPO_SOL-WHT|White|M","PRL-9-SSPOPO_SOL-WHT-M","2","1799","Polo Ralph Lauren | Polo | White","M","PRL-9-SSPOPO_SOL-WHT-M","2","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"37","Polo Ralph Lauren Polo","L","PRL-9-SSPOPO_SOL-WHT|L","PRL-9-SSPOPO_SOL-WHT|White|L","PRL-9-SSPOPO_SOL-WHT-L","2","1799","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: PRL-9-SSPOPO_SOL-WHT-M | PRL-9-SSPOPO_SOL-WHT-S | PRL-9-SSPOPO_SOL-WHT-XL | PRL-9-SSPOPO_SOL-WHT-XXL"
"38","Polo Ralph Lauren Polo","XL","PRL-9-SSPOPO_SOL-WHT|XL","PRL-9-SSPOPO_SOL-WHT|White|XL","PRL-9-SSPOPO_SOL-WHT-XL","1","1799","Polo Ralph Lauren | Polo | White","XL","PRL-9-SSPOPO_SOL-WHT-XL","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"39","Polo Ralph Lauren Polo","XXL","PRL-9-SSPOPO_SOL-WHT|XXL","PRL-9-SSPOPO_SOL-WHT|White|XXL","PRL-9-SSPOPO_SOL-WHT-XXL","1","1799","Polo Ralph Lauren | Polo | White","XXL","PRL-9-SSPOPO_SOL-WHT-XXL","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"40","Polo Ralph Lauren Polo","S","PRL-10-SSPOPO_SOL-BLK|S","PRL-10-SSPOPO_SOL-BLK|Black|S","PRL-10-SSPOPO_SOL-BLK-S","2","1799","Polo Ralph Lauren | Polo | Black","S","PRL-10-SSPOPO_SOL-BLK-S","2","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"41","Polo Ralph Lauren Polo","M","PRL-10-SSPOPO_SOL-BLK|M","PRL-10-SSPOPO_SOL-BLK|Black|M","PRL-10-SSPOPO_SOL-BLK-M","1","1799","Polo Ralph Lauren | Polo | Black","M","PRL-10-SSPOPO_SOL-BLK-M","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"42","Polo Ralph Lauren Polo","L","PRL-10-SSPOPO_SOL-BLK|L","PRL-10-SSPOPO_SOL-BLK|Black|L","PRL-10-SSPOPO_SOL-BLK-L","2","1799","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: PRL-10-SSPOPO_SOL-BLK-M | PRL-10-SSPOPO_SOL-BLK-S | PRL-10-SSPOPO_SOL-BLK-XL | PRL-10-SSPOPO_SOL-BLK-XXL"
"43","Polo Ralph Lauren Polo","XL","PRL-10-SSPOPO_SOL-BLK|XL","PRL-10-SSPOPO_SOL-BLK|Black|XL","PRL-10-SSPOPO_SOL-BLK-XL","1","1799","Polo Ralph Lauren | Polo | Black","XL","PRL-10-SSPOPO_SOL-BLK-XL","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"44","Polo Ralph Lauren Polo","XXL","PRL-10-SSPOPO_SOL-BLK|XXL","PRL-10-SSPOPO_SOL-BLK|Black|XXL","PRL-10-SSPOPO_SOL-BLK-XXL","1","1799","Polo Ralph Lauren | Polo | Black","XXL","PRL-10-SSPOPO_SOL-BLK-XXL","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"45","Armani Exchange Polo","S","ARX-11-SSPOPO_MIX-WBK|S","ARX-11-SSPOPO_MIX-WBK|Black|S","ARX-11-SSPOPO_MIX-WBK-S","1","1499","Armani Exchange | Polo | Black","S","ARX-11-SSPOPO_MIX-WBK-S","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"46","Armani Exchange Polo","M","ARX-11-SSPOPO_MIX-WBK|M","ARX-11-SSPOPO_MIX-WBK|Black|M","ARX-11-SSPOPO_MIX-WBK-M","2","1499","Armani Exchange | Polo | Black","M","ARX-11-SSPOPO_MIX-WBK-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"47","Armani Exchange Polo","L","ARX-11-SSPOPO_MIX-WBK|L","ARX-11-SSPOPO_MIX-WBK|Black|L","ARX-11-SSPOPO_MIX-WBK-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: ARX-11-SSPOPO_MIX-WBK-M | ARX-11-SSPOPO_MIX-WBK-S | ARX-11-SSPOPO_MIX-WBK-XL | ARX-11-SSPOPO_MIX-WBK-XXL"
"48","Armani Exchange Polo","XL","ARX-11-SSPOPO_MIX-WBK|XL","ARX-11-SSPOPO_MIX-WBK|Black|XL","ARX-11-SSPOPO_MIX-WBK-XL","2","1499","Armani Exchange | Polo | Black","XL","ARX-11-SSPOPO_MIX-WBK-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
